Run Bound_name View Risk Gibbs_Risk Bound Join_Error Disagreement DIV_QP DIV_RhoPi alpha n_labeled n_all Posterior_Qv Posterior_rho
1 TND_inv Concatenated 0.198 0.547 1.532 0.373 0.700 0.008 nan 1.1 44100.0 44100.0 "['0.023475902', '0.019064212', '0.017154910', '0.021960713', '0.017154688', '0.020425685', '0.015991848', '0.020439070', '0.017174732', '0.018694282', '0.025644870', '0.017153358', '0.019098043', '0.015683688', '0.024180237', '0.024371093', '0.020065896', '0.019644331', '0.018991519', '0.018372543', '0.023218675', '0.019980038', '0.023109553', '0.014335454', '0.018317739', '0.019479398', '0.018555054', '0.021228870', '0.023259159', '0.020235932', '0.021573469', '0.024420908', '0.017946282', '0.021251665', '0.021238161', '0.020339604', '0.019218368', '0.021287235', '0.018389652', '0.024725689', '0.021689393', '0.018923298', '0.021586979', '0.017882641', '0.020394797', '0.019050771', '0.017415412', '0.019452116', '0.017800201', '0.018951876']" 
1 TND_inv Multiview 0.114 0.326 0.654 0.156 0.519 0.080 0.005 1.1 44100.0 44100.0 "[['0.020307677', '0.001596928', '0.006958638', '0.037529748', '0.011645091', '0.002854828', '0.001716624', '0.030050183', '0.001548843', '0.009279214', '0.013476002', '0.032952603', '0.002935560', '0.003602495', '0.001714538', '0.001322340', '0.023513168', '0.001509632', '0.031333700', '0.009260911', '0.044287797', '0.052038837', '0.052908000', '0.017583003', '0.036604766', '0.015566739', '0.001530245', '0.044498071', '0.034094550', '0.027877267', '0.032500759', '0.040158421', '0.024691906', '0.006021916', '0.019881122', '0.011159054', '0.009088534', '0.002707842', '0.018341748', '0.004720564', '0.009077961', '0.021034652', '0.019432936', '0.032707188', '0.015854778', '0.037360072', '0.033582352', '0.030668855', '0.028283050', '0.030628279'], ['0.007871400', '0.007074452', '0.006225053', '0.002129167', '0.031578906', '0.000934979', '0.066856906', '0.001157380', '0.002832751', '0.001431372', '0.000978166', '0.001199475', '0.003269447', '0.020354912', '0.019275485', '0.101153784', '0.003464354', '0.001182578', '0.001135292', '0.085151091', '0.014786633', '0.001200298', '0.001400631', '0.001457357', '0.013439773', '0.001060200', '0.000787590', '0.001182963', '0.008264621', '0.001131701', '0.002001046', '0.023432532', '0.057937060', '0.001870751', '0.047856666', '0.001111791', '0.102146983', '0.001274595', '0.087453395', '0.000831081', '0.092693381', '0.002960854', '0.074823484', '0.026224202', '0.001447980', '0.004059306', '0.008855965', '0.017426709', '0.017788520', '0.017834997'], ['0.027926659', '0.021043066', '0.024560358', '0.029338771', '0.019038014', '0.034602594', '0.016854320', '0.035991903', '0.007582403', '0.052199051', '0.044272743', '0.010670261', '0.006921098', '0.006265517', '0.050027654', '0.007196077', '0.008554753', '0.016536564', '0.023329901', '0.002065906', '0.021258105', '0.025484046', '0.020953542', '0.003071547', '0.023689529', '0.038521167', '0.006112644', '0.033236325', '0.024245232', '0.049679019', '0.003853938', '0.004906912', '0.010584844', '0.004843531', '0.015501689', '0.036716286', '0.001101903', '0.027515419', '0.001227826', '0.006137236', '0.001530468', '0.007167900', '0.001447654', '0.009083471', '0.008341723', '0.039695311', '0.042011987', '0.026785171', '0.038359288', '0.021958634'], ['0.019697361', '0.046800267', '0.034597062', '0.005196925', '0.007497841', '0.033643536', '0.003184746', '0.011917226', '0.058092073', '0.009031367', '0.016842674', '0.028963612', '0.059480552', '0.037379038', '0.013436332', '0.001084672', '0.028822206', '0.055133570', '0.021121548', '0.002018463', '0.001255003', '0.001848262', '0.004051168', '0.053913459', '0.005932148', '0.021158693', '0.070947692', '0.001510756', '0.002690700', '0.001248562', '0.028667333', '0.007594381', '0.001062990', '0.061733313', '0.001888053', '0.027822834', '0.000809325', '0.037462052', '0.001029263', '0.066039376', '0.000819507', '0.042244546', '0.000997809', '0.013751611', '0.042374376', '0.001351087', '0.001141694', '0.001430984', '0.001616533', '0.001665422']]" "['0.241793588', '0.149556503', '0.261775523', '0.346874416']"
1 C_TND View1 0.315 0.366 0.835 0.196 0.508 0.007 nan 1.1 44100.0 44100.0 "['0.021069175', '0.018315352', '0.019975457', '0.020181319', '0.015846003', '0.019183446', '0.015828146', '0.022048153', '0.014990682', '0.017332945', '0.020716559', '0.022569666', '0.020158486', '0.017107697', '0.017799243', '0.019238722', '0.018121166', '0.017062802', '0.023508159', '0.020320404', '0.022897528', '0.023955738', '0.023793135', '0.023840481', '0.021949947', '0.020531489', '0.018638007', '0.023002442', '0.017877627', '0.019449078', '0.020272931', '0.020312101', '0.021991070', '0.020493219', '0.018646605', '0.020163082', '0.020055590', '0.014125559', '0.023116773', '0.021278301', '0.017741716', '0.022060050', '0.020193715', '0.021830846', '0.018940760', '0.022156175', '0.022023175', '0.018750958', '0.020688195', '0.017850133']" 
1 C_TND View2 0.340 0.419 0.954 0.262 0.546 0.005 nan 1.1 44100.0 44100.0 "['0.023599193', '0.020986384', '0.016590629', '0.016516067', '0.019841528', '0.022226654', '0.021086572', '0.020897755', '0.017738137', '0.016768131', '0.020286191', '0.017014233', '0.020594403', '0.020951804', '0.019398037', '0.020598076', '0.019601597', '0.018559605', '0.022324525', '0.018509272', '0.018840393', '0.021997726', '0.022448631', '0.019241158', '0.019872880', '0.015162230', '0.022354824', '0.019749908', '0.020469477', '0.021516612', '0.019212216', '0.020103605', '0.020527000', '0.017974883', '0.020888630', '0.019948700', '0.017153179', '0.021584269', '0.020082712', '0.022811402', '0.018684912', '0.019293508', '0.020392859', '0.018617895', '0.020814583', '0.020103479', '0.026253391', '0.023166960', '0.018182866', '0.018460350']" 
1 C_TND View3 0.306 0.348 0.797 0.185 0.489 0.008 nan 1.1 44100.0 44100.0 "['0.020958303', '0.020177245', '0.016682267', '0.019699726', '0.019089947', '0.020007944', '0.016202869', '0.019432798', '0.019246748', '0.021331975', '0.022894587', '0.019426115', '0.023051159', '0.016854491', '0.021652639', '0.024788216', '0.020698974', '0.017545206', '0.024174867', '0.024770577', '0.020195236', '0.015667412', '0.022327961', '0.016488865', '0.020861808', '0.019435469', '0.019329671', '0.020559669', '0.019885447', '0.022625288', '0.021867502', '0.025133453', '0.018305482', '0.017002946', '0.017784053', '0.020402445', '0.014840726', '0.020190032', '0.023729837', '0.021849139', '0.018257983', '0.017510314', '0.025033928', '0.019902842', '0.022235282', '0.015937885', '0.017725307', '0.018314531', '0.020037062', '0.017875755']" 
1 C_TND View4 0.216 0.291 0.596 0.131 0.435 0.006 nan 1.1 44100.0 44100.0 "['0.018348694', '0.021752751', '0.018791018', '0.020044865', '0.020416122', '0.022229757', '0.018642927', '0.022160176', '0.016213618', '0.020259734', '0.016281044', '0.019241553', '0.020430606', '0.017458178', '0.020135401', '0.019513564', '0.023217615', '0.023465827', '0.018971678', '0.021735387', '0.020011801', '0.018634021', '0.018885611', '0.023135932', '0.023621300', '0.019281918', '0.021561516', '0.015461444', '0.021917051', '0.021310830', '0.021078449', '0.020745946', '0.021279581', '0.015795205', '0.016775632', '0.018951470', '0.017297983', '0.020327043', '0.018685155', '0.024618555', '0.021485239', '0.020790119', '0.022853596', '0.015521902', '0.021507066', '0.019236511', '0.018853536', '0.021694545', '0.020097248', '0.019273246']" 
1 C_TND Concatenated 0.195 0.538 0.977 0.363 0.691 0.027 nan 1.1 44100.0 44100.0 "['0.026026458', '0.018184057', '0.014447190', '0.024105802', '0.014408171', '0.020886971', '0.011844446', '0.020941624', '0.014953784', '0.017686754', '0.030990779', '0.014431273', '0.018409712', '0.011463238', '0.027134160', '0.027809802', '0.020398917', '0.020077970', '0.017919252', '0.017043624', '0.025719421', '0.019374579', '0.025498314', '0.009504213', '0.016919686', '0.019315366', '0.017674306', '0.022467736', '0.025665564', '0.020494180', '0.023180414', '0.027962785', '0.016286552', '0.022283709', '0.022750249', '0.020282188', '0.018471519', '0.022158695', '0.016824314', '0.029096095', '0.023315206', '0.018004101', '0.023128087', '0.016068522', '0.020952884', '0.018087707', '0.015782256', '0.019461373', '0.015984651', '0.018121388']" 
1 C_TND Multiview 0.146 0.300 0.636 0.139 0.482 0.444 0.037 1.1 44100.0 44100.0 "[['0.000010650', '0.000007058', '0.000009770', '0.055428326', '0.000010950', '0.000009815', '0.000008746', '0.046821624', '0.000006447', '0.004662519', '0.029832480', '0.000013169', '0.000008798', '0.000008860', '0.000008396', '0.000029868', '0.000010320', '0.000007663', '0.000012056', '0.000582936', '0.070461012', '0.078124247', '0.081556953', '0.000010917', '0.060788911', '0.033264618', '0.000007557', '0.063871436', '0.049465284', '0.026256539', '0.000011414', '0.000015657', '0.052685946', '0.000009271', '0.038506038', '0.000010688', '0.000066748', '0.000009009', '0.002020887', '0.000009476', '0.000073128', '0.000010553', '0.087366827', '0.000010569', '0.000010605', '0.048286807', '0.043117583', '0.044709574', '0.036560874', '0.045210361'], ['0.000001990', '0.000002231', '0.000001429', '0.000007858', '0.000002288', '0.000001264', '0.000005097', '0.000004225', '0.000001602', '0.000007633', '0.000004526', '0.000001267', '0.000002260', '0.000002377', '0.000003304', '0.202999994', '0.000001885', '0.000001435', '0.000001362', '0.192740574', '0.000024519', '0.000007315', '0.000005473', '0.000001302', '0.000016718', '0.000003984', '0.000001027', '0.000005229', '0.000022583', '0.000009116', '0.000002280', '0.000001862', '0.000499302', '0.000001461', '0.000461429', '0.000001321', '0.210759297', '0.000001531', '0.204898387', '0.000001160', '0.186531320', '0.000001473', '0.000791865', '0.000002539', '0.000001332', '0.000013077', '0.000021287', '0.000025344', '0.000069874', '0.000022029'], ['0.000013346', '0.000012058', '0.000013160', '0.039638061', '0.000014295', '0.000017139', '0.000014781', '0.058507349', '0.000010712', '0.089334309', '0.072214149', '0.000011720', '0.000010903', '0.000010826', '0.000026448', '0.000067433', '0.000011927', '0.000012759', '0.000013905', '0.000034748', '0.031606797', '0.026593665', '0.022943961', '0.000010428', '0.039698087', '0.070704237', '0.000011078', '0.042110633', '0.035841204', '0.078358628', '0.000012575', '0.000012536', '0.050038639', '0.000011231', '0.054738011', '0.000015210', '0.000020465', '0.000014862', '0.000023858', '0.000011813', '0.000028269', '0.000012685', '0.000301238', '0.000013130', '0.000012219', '0.059001263', '0.067598969', '0.047604978', '0.071201906', '0.041457381'], ['0.038748711', '0.044752330', '0.040010288', '0.000024518', '0.030500958', '0.037574701', '0.034826089', '0.000025553', '0.042378001', '0.000031149', '0.000026242', '0.038632128', '0.043697428', '0.038076244', '0.040783521', '0.000005659', '0.034502883', '0.043989915', '0.038709857', '0.000006516', '0.000019246', '0.000020979', '0.000021733', '0.044626258', '0.000025261', '0.000026397', '0.049545653', '0.000020500', '0.000020961', '0.000019548', '0.034911346', '0.035490721', '0.000017073', '0.044936024', '0.000027400', '0.039292950', '0.000004372', '0.037307277', '0.000005414', '0.047473259', '0.000005254', '0.040878069', '0.000025446', '0.040124893', '0.037756581', '0.000019532', '0.000015545', '0.000020420', '0.000020315', '0.000018929']]" "['0.166506961', '0.057641871', '0.176411092', '0.599440098']"
2 TND View1 0.316 0.380 0.865 0.208 0.523 0.007 nan 1.1 44100.0 44100.0 "['0.021152390', '0.023399286', '0.018026441', '0.023203304', '0.016944511', '0.024191102', '0.018186141', '0.016670497', '0.022116465', '0.018261027', '0.017333083', '0.018254893', '0.021309907', '0.017681409', '0.018376941', '0.018208748', '0.018729681', '0.023183387', '0.018430524', '0.024949629', '0.018414510', '0.022012392', '0.021728339', '0.020893641', '0.021826083', '0.021703895', '0.020421084', '0.017871769', '0.022405619', '0.018116975', '0.022341942', '0.020177566', '0.021467933', '0.024053341', '0.017133256', '0.017372796', '0.023246281', '0.021284325', '0.018598810', '0.017602136', '0.017124493', '0.021852236', '0.016523369', '0.021759287', '0.018452469', '0.018413192', '0.020633833', '0.018686183', '0.018299937', '0.020972949']" 
2 TND View2 0.339 0.422 1.000 0.265 0.547 0.005 nan 1.1 44100.0 44100.0 "['0.020333899', '0.019727020', '0.019357229', '0.019565454', '0.021371942', '0.020788306', '0.018904530', '0.019550528', '0.023429833', '0.020282269', '0.020431243', '0.017404344', '0.022196952', '0.019908387', '0.021635074', '0.021955715', '0.019766349', '0.017826319', '0.019612804', '0.019459719', '0.017388592', '0.022239285', '0.016002676', '0.018760877', '0.022065388', '0.017316120', '0.016495490', '0.018072216', '0.023830431', '0.019758293', '0.021892304', '0.022702741', '0.020525251', '0.018071247', '0.016379258', '0.021568483', '0.020432960', '0.023830032', '0.021487707', '0.020606663', '0.017035004', '0.018200928', '0.018596604', '0.016906781', '0.018183686', '0.021235293', '0.019473543', '0.021295270', '0.024193360', '0.021945646']" 
